fullName,country,politicalGroup,id,nationalPoliticalGroup,twitter
Franz OBERMAYR,Austria,Europe of Nations and Freedom Group,96981,Freiheitliche Partei Österreichs,franzobermayr
Patrick O'FLYNN,United Kingdom,Europe of Freedom and Direct Democracy Group,124940,United Kingdom Independence Party,oflynnmep
Jan OLBRYCHT,Poland,Group of the European People's Party (Christian Democrats),28288,Platforma Obywatelska,JanOlbrycht
Younous OMARJEE,France,Confederal Group of the European United Left - Nordic Green Left,30482,L'union pour les Outremer,younousomarjee
Stanisław OŻÓG,Poland,European Conservatives and Reformists Group,124897,Prawo i Sprawiedliwość,biuroposelskie
Artis PABRIKS,Latvia,Group of the European People's Party (Christian Democrats),124743,"Partija ""VIENOTĪBA""",Pabriks
Ivari PADAR,Estonia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,97025,Sotsiaaldemokraatlik Erakond,
Urmas PAET,Estonia,Group of the Alliance of Liberals and Democrats for Europe,129073,Eesti Reformierakond,Urmaspaet
Maite PAGAZAURTUNDÚA RUIZ,Spain,Group of the Alliance of Liberals and Democrats for Europe,125038,"Unión, Progreso y Democracia",maitepagaza
Rolandas PAKSAS,Lithuania,Europe of Freedom and Direct Democracy Group,96694,Partija Tvarka ir teisingumas,RolandasPaksas
Rory PALMER,United Kingdom,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,190099,Labour Party,rory_palmer
Pier Antonio PANZERI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,28365,Articolo UNO – Movimento Democratico e Progressista,AntonioPanzeri
Massimo PAOLUCCI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124849,Articolo UNO – Movimento Democratico e Progressista,MassimoPaolucc6
Demetris PAPADAKIS,Cyprus,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124692,Movement for Social Democracy EDEK,DemPapadakis
Konstantinos PAPADAKIS,Greece,Non-attached Members,125093,Communist Party of Greece,
Dimitrios PAPADIMOULIS,Greece,Confederal Group of the European United Left - Nordic Green Left,28586,Coalition of the Radical Left,papadimoulis
Gilles PARGNEAUX,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96948,Parti socialiste,gillespargneaux
Margot PARKER,United Kingdom,Europe of Freedom and Direct Democracy Group,124945,United Kingdom Independence Party,MargotLJParker
Ioan Mircea PAŞCU,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,33984,Partidul Social Democrat,ioanmirceapascu
Aldo PATRICIELLO,Italy,Group of the European People's Party (Christian Democrats),36392,Forza Italia,PatricielloAldo
Emilian PAVEL,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,129256,Partidul Social Democrat,PavelEmilian
Jiří PAYNE,Czech Republic,Europe of Freedom and Direct Democracy Group,189507,Strana svobodných občanů,JTP07
Piernicola PEDICINI,Italy,Europe of Freedom and Direct Democracy Group,124844,Movimento 5 Stelle,PediciniM5S
Vincent PEILLON,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,28166,Parti socialiste,Vincent_Peillon
Alojz PETERLE,Slovenia,Group of the European People's Party (Christian Democrats),23693,Nova Slovenija – Krščanski demokrati,lojzepeterle
Morten Helveg PETERSEN,Denmark,Group of the Alliance of Liberals and Democrats for Europe,124872,Det Radikale Venstre,mortenhelveg
