"","fullName","country","politicalGroup","id","nationalPoliticalGroup"
"1","Lars ADAKTUSSON","Sweden","Group of the European People's Party (Christian Democrats)","124990","Kristdemokraterna"
"2","Asim ADEMOV","Bulgaria","Group of the European People's Party (Christian Democrats)","189525","Citizens for European Development of Bulgaria"
"3","Isabella ADINOLFI","Italy","Europe of Freedom and Direct Democracy Group","124831","Movimento 5 Stelle"
"4","Marco AFFRONTE","Italy","Group of the Greens/European Free Alliance","124797","Independent"
"5","Laura AGEA","Italy","Europe of Freedom and Direct Democracy Group","124811","Movimento 5 Stelle"
"6","John Stuart AGNEW","United Kingdom","Europe of Freedom and Direct Democracy Group","96897","United Kingdom Independence Party"
"7","Clara Eugenia AGUILERA GARCÍA","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","125045","Partido Socialista Obrero Español"
"8","Daniela AIUTO","Italy","Europe of Freedom and Direct Democracy Group","124842","Movimento 5 Stelle"
"9","Tim AKER","United Kingdom","Europe of Freedom and Direct Democracy Group","99650","United Kingdom Independence Party"
"10","Marina ALBIOL GUZMÁN","Spain","Confederal Group of the European United Left - Nordic Green Left","125048","Izquierda Unida"
"11","Jan Philipp ALBRECHT","Germany","Group of the Greens/European Free Alliance","96736","Bündnis 90/Die Grünen"
"12","Nedzhmi ALI","Bulgaria","Group of the Alliance of Liberals and Democrats for Europe","34250","Movement for Rights and Freedoms"
"13","Michèle ALLIOT-MARIE","France","Group of the European People's Party (Christian Democrats)","1179","Les Républicains"
"14","Lucy ANDERSON","United Kingdom","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124949","Labour Party"
"15","Martina ANDERSON","United Kingdom","Confederal Group of the European United Left - Nordic Green Left","113959","Sinn Fein"
"16","Max ANDERSSON","Sweden","Group of the Greens/European Free Alliance","124994","Miljöpartiet de gröna"
"17","Eric ANDRIEU","France","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","113892","Parti socialiste"
"18","Laima Liucija ANDRIKIENĖ","Lithuania","Group of the European People's Party (Christian Democrats)","28276","Tėvynės sąjunga-Lietuvos krikščionys demokratai"
"19","Nikos ANDROULAKIS","Greece","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","125110","Panhellenic Socialist Movement - Olive Tree"
"20","Gerolf ANNEMANS","Belgium","Europe of Nations and Freedom Group","124973","Vlaams Belang"
"21","Maria ARENA","Belgium","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124936","Parti Socialiste"
"22","Pascal ARIMONT","Belgium","Group of the European People's Party (Christian Democrats)","24922","Christlich Soziale Partei"
"23","Marie-Christine ARNAUTU","France","Europe of Nations and Freedom Group","124748","Rassemblement national"
"24","Jonathan ARNOTT","United Kingdom","Europe of Freedom and Direct Democracy Group","124958","United Kingdom Independence Party"
"25","Jean ARTHUIS","France","Group of the Alliance of Liberals and Democrats for Europe","124773","Union des Démocrates et Indépendants"
"26","Richard ASHWORTH","United Kingdom","Group of the European People's Party (Christian Democrats)","28132","Conservative Party"
"27","Francisco ASSIS","Portugal","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","28307","Partido Socialista"
"28","Janice ATKINSON","United Kingdom","Europe of Nations and Freedom Group","124938","-"
"29","Margrete AUKEN","Denmark","Group of the Greens/European Free Alliance","28161","Socialistisk Folkeparti"
"30","Petras AUŠTREVIČIUS","Lithuania","Group of the Alliance of Liberals and Democrats for Europe","124766","Lietuvos Respublikos liberalų sąjūdis"
"31","Inés AYALA SENDER","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","28292","Partido Socialista Obrero Español"
"32","Pilar AYUSO","Spain","Group of the European People's Party (Christian Democrats)","4319","Partido Popular"
"33","Johannes Cornelis van BAALEN","Netherlands","Group of the Alliance of Liberals and Democrats for Europe","96937","Volkspartij voor Vrijheid en Democratie"
"34","Georges BACH","Luxembourg","Group of the European People's Party (Christian Democrats)","97293","Parti chrétien social luxembourgeois"
"35","Guillaume BALAS","France","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124744","Génération.s, le mouvement"
"36","Zigmantas BALČYTIS","Lithuania","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","96680","Lietuvos socialdemokratų partija"
"37","Zoltán BALCZÓ","Hungary","Non-attached Members","96877","Jobbik Magyarországért Mozgalom"
"38","Burkhard BALZ","Germany","Group of the European People's Party (Christian Democrats)","96997","Christlich Demokratische Union Deutschlands"
"39","Nikolay BAREKOV","Bulgaria","European Conservatives and Reformists Group","124871","Reload Bulgaria Party"
"40","Amjad BASHIR","United Kingdom","European Conservatives and Reformists Group","124956","Conservative Party"
"41","Gerard BATTEN","United Kingdom","Europe of Freedom and Direct Democracy Group","28497","United Kingdom Independence Party"
"42","Nicolas BAY","France","Europe of Nations and Freedom Group","124760","Rassemblement national"
"43","Hugues BAYET","Belgium","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","125002","Parti Socialiste"
"44","Catherine BEARDER","United Kingdom","Group of the Alliance of Liberals and Democrats for Europe","96955","Liberal Democrats"
"45","Beatriz BECERRA BASTERRECHEA","Spain","Group of the Alliance of Liberals and Democrats for Europe","125040","Independiente"
"46","Heinz K. BECKER","Austria","Group of the European People's Party (Christian Democrats)","107041","Österreichische Volkspartei"
"47","Tiziana BEGHIN","Italy","Europe of Freedom and Direct Democracy Group","124777","Movimento 5 Stelle"
"48","Bas BELDER","Netherlands","European Conservatives and Reformists Group","4507","Staatkundig Gereformeerde Partij"
"49","Ivo BELET","Belgium","Group of the European People's Party (Christian Democrats)","28257","Christen-Democratisch & Vlaams"
"50","Bendt BENDTSEN","Denmark","Group of the European People's Party (Christian Democrats)","96705","Det Konservative Folkeparti"
"51","Brando BENIFEI","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124867","Partito Democratico"
"52","Xabier BENITO ZILUAGA","Spain","Confederal Group of the European United Left - Nordic Green Left","135490","PODEMOS"
"53","Monika BEŇOVÁ","Slovakia","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","23868","SMER-Sociálna demokracia"
"54","Pervenche BERÈS","France","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","1985","Parti socialiste"
"55","Joëlle BERGERON","France","Europe of Freedom and Direct Democracy Group","124740","Sans étiquette"
"56","Goffredo Maria BETTINI","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124819","Partito Democratico"
"57","Izaskun BILBAO BARANDICA","Spain","Group of the Alliance of Liberals and Democrats for Europe","96922","Partido Nacionalista Vasco"
"58","Dominique BILDE","France","Europe of Nations and Freedom Group","124771","Rassemblement national"
"59","Mara BIZZOTTO","Italy","Europe of Nations and Freedom Group","97198","Lega Nord"
"60","Malin BJÖRK","Sweden","Confederal Group of the European United Left - Nordic Green Left","124992","Vänsterpartiet"
"61","José BLANCO LÓPEZ","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","125044","Partido Socialista Obrero Español"
"62","Vilija BLINKEVIČIŪTĖ","Lithuania","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","96681","Lietuvos socialdemokratų partija"
"63","Andrea BOCSKOR","Hungary","Group of the European People's Party (Christian Democrats)","124712","Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt"
"64","Reimer BÖGE","Germany","Group of the European People's Party (Christian Democrats)","1037","Christlich Demokratische Union Deutschlands"
"65","Franc BOGOVIČ","Slovenia","Group of the European People's Party (Christian Democrats)","125004","Slovenska ljudska stranka"
"66","Simona BONAFÈ","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124814","Partito Democratico"
"67","Michał BONI","Poland","Group of the European People's Party (Christian Democrats)","124896","Platforma Obywatelska"
"68","Mario BORGHEZIO","Italy","Europe of Nations and Freedom Group","21817","Lega Nord"
"69","David BORRELLI","Italy","Non-attached Members","124796","Movimento 5 Stelle"
"70","Biljana BORZAN","Croatia","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","112748","Socijaldemokratska partija Hrvatske"
"71","Victor BOŞTINARU","Romania","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","39711","Partidul Social Democrat"
"72","Louise BOURS","United Kingdom","Europe of Freedom and Direct Democracy Group","124964","United Kingdom Independence Party"
"73","Marie-Christine BOUTONNET","France","Europe of Nations and Freedom Group","124753","Rassemblement national"
"74","José BOVÉ","France","Group of the Greens/European Free Alliance","96744","Europe Écologie"
"75","Lynn BOYLAN","Ireland","Confederal Group of the European United Left - Nordic Green Left","124984","Sinn Féin"
"76","Paul BRANNEN","United Kingdom","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124954","Labour Party"
"77","Mercedes BRESSO","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","28346","Partito Democratico"
"78","Renata BRIANO","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124787","Partito Democratico"
"79","Steeve BRIOIS","France","Europe of Nations and Freedom Group","124757","Rassemblement national"
"80","Elmar BROK","Germany","Group of the European People's Party (Christian Democrats)","1263","Christlich Demokratische Union Deutschlands"
"81","Klaus BUCHNER","Germany","Group of the Greens/European Free Alliance","124818","Ökologisch-Demokratische Partei"
"82","Daniel BUDA","Romania","Group of the European People's Party (Christian Democrats)","125012","Partidul Naţional Liberal"
"83","Udo BULLMANN","Germany","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","4267","Sozialdemokratische Partei Deutschlands"
"84","Jonathan BULLOCK","United Kingdom","Europe of Freedom and Direct Democracy Group","188733","United Kingdom Independence Party"
"85","Cristian-Silviu BUŞOI","Romania","Group of the European People's Party (Christian Democrats)","38420","Partidul Naţional Liberal"
"86","Reinhard BÜTIKOFER","Germany","Group of the Greens/European Free Alliance","96739","Bündnis 90/Die Grünen"
"87","Jerzy BUZEK","Poland","Group of the European People's Party (Christian Democrats)","28269","Platforma Obywatelska"
"88","Soledad CABEZÓN RUIZ","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","125041","Partido Socialista Obrero Español"
"89","Alain CADEC","France","Group of the European People's Party (Christian Democrats)","96849","Les Républicains"
"90","Enrique CALVET CHAMBON","Spain","Group of the Alliance of Liberals and Democrats for Europe","129407","Independiente"
"91","Wim van de CAMP","Netherlands","Group of the European People's Party (Christian Democrats)","96754","Christen Democratisch Appèl"
"92","David CAMPBELL BANNERMAN","United Kingdom","European Conservatives and Reformists Group","96912","Conservative Party"
"93","Nicola CAPUTO","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124851","Partito Democratico"
"94","Matt CARTHY","Ireland","Confederal Group of the European United Left - Nordic Green Left","124986","Sinn Féin"
"95","James CARVER","United Kingdom","Non-attached Members","124971","Independent"
"96","David CASA","Malta","Group of the European People's Party (Christian Democrats)","28122","Partit Nazzjonalista"
"97","Daniel CASPARY","Germany","Group of the European People's Party (Christian Democrats)","28219","Christlich Demokratische Union Deutschlands"
"98","Fabio Massimo CASTALDO","Italy","Europe of Freedom and Direct Democracy Group","124812","Movimento 5 Stelle"
"99","Pilar del CASTILLO VERA","Spain","Group of the European People's Party (Christian Democrats)","28390","Partido Popular"
"100","Jean-Marie CAVADA","France","Group of the Alliance of Liberals and Democrats for Europe","28206","Génération Citoyens"
"101","Lorenzo CESA","Italy","Group of the European People's Party (Christian Democrats)","28451","Unione di Centro"
"102","Dita CHARANZOVÁ","Czech Republic","Group of the Alliance of Liberals and Democrats for Europe","124708","ANO 2011"
"103","Aymeric CHAUPRADE","France","Europe of Freedom and Direct Democracy Group","124752","Les Français Libres"
"104","Nessa CHILDERS","Ireland","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","96603","Independent"
"105","Caterina CHINNICI","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124861","Partito Democratico"
"106","Nikolaos CHOUNTIS","Greece","Confederal Group of the European United Left - Nordic Green Left","26851","Popular Unity"
"107","Ole CHRISTENSEN","Denmark","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","28154","Socialdemokratiet"
"108","Lefteris CHRISTOFOROU","Cyprus","Group of the European People's Party (Christian Democrats)","26837","Democratic Rally"
"109","Kostas CHRYSOGONOS","Greece","Confederal Group of the European United Left - Nordic Green Left","125061","Coalition of the Radical Left"
"110","Salvatore CICU","Italy","Group of the European People's Party (Christian Democrats)","124854","Forza Italia"
"111","Angelo CIOCCA","Italy","Europe of Nations and Freedom Group","183793","Lega Nord"
"112","Alberto CIRIO","Italy","Group of the European People's Party (Christian Democrats)","124772","Forza Italia"
"113","Deirdre CLUNE","Ireland","Group of the European People's Party (Christian Democrats)","124988","Fine Gael Party"
"114","David COBURN","United Kingdom","Europe of Freedom and Direct Democracy Group","124967","United Kingdom Independence Party"
"115","Carlos COELHO","Portugal","Group of the European People's Party (Christian Democrats)","1892","Partido Social Democrata"
"116","Sergio Gaetano COFFERATI","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","96915","Sinistra Italiana"
"117","Birgit COLLIN-LANGEN","Germany","Group of the European People's Party (Christian Democrats)","112788","Christlich Demokratische Union Deutschlands"
"118","Jane COLLINS","United Kingdom","Europe of Freedom and Direct Democracy Group","124955","United Kingdom Independence Party"
"119","Jacques COLOMBIER","France","Europe of Nations and Freedom Group","191510","Rassemblement national"
"120","Lara COMI","Italy","Group of the European People's Party (Christian Democrats)","96775","Forza Italia"
"121","Anna Maria CORAZZA BILDT","Sweden","Group of the European People's Party (Christian Democrats)","96674","Moderaterna"
"122","Richard CORBETT","United Kingdom","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","2309","Labour Party"
"123","Thierry CORNILLET","France","Group of the Alliance of Liberals and Democrats for Europe","4338","Mouvement Radical"
"124","Ignazio CORRAO","Italy","Europe of Freedom and Direct Democracy Group","124856","Movimento 5 Stelle"
"125","Silvia COSTA","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","96917","Partito Democratico"
"126","Javier COUSO PERMUY","Spain","Confederal Group of the European United Left - Nordic Green Left","125997","Izquierda Unida"
"127","Andrea COZZOLINO","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","96880","Partito Democratico"
"128","Michael CRAMER","Germany","Group of the Greens/European Free Alliance","28238","Bündnis 90/Die Grünen"
"129","Andi CRISTEA","Romania","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","40224","Partidul Social Democrat"
"130","Brian CROWLEY","Ireland","European Conservatives and Reformists Group","2109","Fianna Fáil Party"
"131","Pál CSÁKY","Slovakia","Group of the European People's Party (Christian Democrats)","124930","Strana mad'arskej komunity- Magyar Közösség Pártja"
"132","Ryszard CZARNECKI","Poland","European Conservatives and Reformists Group","28372","Prawo i Sprawiedliwość"
"133","Edward CZESAK","Poland","European Conservatives and Reformists Group","132925","Prawo i Sprawiedliwość"
"134","Peter van DALEN","Netherlands","European Conservatives and Reformists Group","96809","ChristenUnie"
"135","Miriam DALLI","Malta","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124970","Partit Laburista"
"136","Daniel DALTON","United Kingdom","European Conservatives and Reformists Group","35135","Conservative Party"
"137","Jakop DALUNDE","Sweden","Group of the Greens/European Free Alliance","183338","Miljöpartiet de gröna"
"138","Rosa D'AMATO","Italy","Europe of Freedom and Direct Democracy Group","124835","Movimento 5 Stelle"
"139","Seb DANCE","United Kingdom","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124952","Labour Party"
"140","Arnaud DANJEAN","France","Group of the European People's Party (Christian Democrats)","96747","Les Républicains"
"141","Nicola DANTI","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124821","Partito Democratico"
"142","Michel DANTIN","France","Group of the European People's Party (Christian Democrats)","97296","Les Républicains"
"143","William (The Earl of) DARTMOUTH","United Kingdom","Europe of Freedom and Direct Democracy Group","96958","United Kingdom Independence Party"
"144","Rachida DATI","France","Group of the European People's Party (Christian Democrats)","72775","Les Républicains"
"145","Paolo DE CASTRO","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","96891","Partito Democratico"
"146","Angélique DELAHAYE","France","Group of the European People's Party (Christian Democrats)","124732","Les Républicains"
"147","Andor DELI","Hungary","Group of the European People's Party (Christian Democrats)","124714","Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt"
"148","Karima DELLI","France","Group of the Greens/European Free Alliance","96868","Europe Écologie"
"149","Mady DELVAUX","Luxembourg","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124776","Parti ouvrier socialiste luxembourgeois"
"150","Mark DEMESMAEKER","Belgium","European Conservatives and Reformists Group","117477","Nieuw-Vlaamse Alliantie"
"151","Isabella DE MONTE","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124803","Partito Democratico"
"152","Gérard DEPREZ","Belgium","Group of the Alliance of Liberals and Democrats for Europe","1473","Mouvement Réformateur"
"153","Albert DESS","Germany","Group of the European People's Party (Christian Democrats)","28228","Christlich-Soziale Union in Bayern e.V."
"154","Michael DETJEN","Germany","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","190799","Sozialdemokratische Partei Deutschlands"
"155","Tamás DEUTSCH","Hungary","Group of the European People's Party (Christian Democrats)","96826","Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt"
"156","Nirj DEVA","United Kingdom","European Conservatives and Reformists Group","4556","Conservative Party"
"157","Mircea DIACONU","Romania","Group of the Alliance of Liberals and Democrats for Europe","124805","Independent"
"158","Agustín DÍAZ DE MERA GARCÍA CONSUEGRA","Spain","Group of the European People's Party (Christian Democrats)","28397","Partido Popular"
"159","Geoffroy DIDIER","France","Group of the European People's Party (Christian Democrats)","190774","Les Républicains"
"160","Martina DLABAJOVÁ","Czech Republic","Group of the Alliance of Liberals and Democrats for Europe","124709","ANO 2011"
"161","Diane DODDS","United Kingdom","Non-attached Members","96951","Democratic Unionist Party"
"162","Jørn DOHRMANN","Denmark","European Conservatives and Reformists Group","124878","Dansk Folkeparti"
