"","fullName","country","politicalGroup","id","nationalPoliticalGroup"
"270","Nadja HIRSCH","Germany","Group of the Alliance of Liberals and Democrats for Europe","96872","Freie Demokratische Partei"
"271","Czesław HOC","Poland","European Conservatives and Reformists Group","135540","Prawo i Sprawiedliwość"
"272","Iris HOFFMANN","Germany","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124841","Sozialdemokratische Partei Deutschlands"
"273","Monika HOHLMEIER","Germany","Group of the European People's Party (Christian Democrats)","96780","Christlich-Soziale Union in Bayern e.V."
"274","Gunnar HÖKMARK","Sweden","Group of the European People's Party (Christian Democrats)","28124","Moderaterna"
"275","György HÖLVÉNYI","Hungary","Group of the European People's Party (Christian Democrats)","124715","Kereszténydemokrata Néppárt"
"276","Mary HONEYBALL","United Kingdom","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","5846","Labour Party"
"277","Mike HOOKEM","United Kingdom","Europe of Freedom and Direct Democracy Group","124957","United Kingdom Independence Party"
"278","Brice HORTEFEUX","France","Group of the European People's Party (Christian Democrats)","5565","Les Républicains"
"279","John HOWARTH","United Kingdom","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","188636","Labour Party"
"280","Danuta Maria HÜBNER","Poland","Group of the European People's Party (Christian Democrats)","96779","Platforma Obywatelska"
"281","Ian HUDGHTON","United Kingdom","Group of the Greens/European Free Alliance","2338","Scottish National Party"
"282","Jan HUITEMA","Netherlands","Group of the Alliance of Liberals and Democrats for Europe","58789","Volkspartij voor Vrijheid en Democratie"
"283","Filiz HYUSMENOVA","Bulgaria","Group of the Alliance of Liberals and Democrats for Europe","34249","Movement for Rights and Freedoms"
"284","Sophia in 't VELD","Netherlands","Group of the Alliance of Liberals and Democrats for Europe","28266","Democraten 66"
"285","Carlos ITURGAIZ","Spain","Group of the European People's Party (Christian Democrats)","28398","Partido Popular"
"286","Cătălin Sorin IVAN","Romania","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","96857","Partidul Social Democrat"
"287","Robert Jarosław IWASZKIEWICZ","Poland","Europe of Freedom and Direct Democracy Group","124886","Wolność"
"288","Liisa JAAKONSAARI","Finland","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","96684","Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti"
"289","Anneli JÄÄTTEENMÄKI","Finland","Group of the Alliance of Liberals and Democrats for Europe","28314","Suomen Keskusta"
"290","Yannick JADOT","France","Group of the Greens/European Free Alliance","96740","Europe Écologie"
"291","Peter JAHR","Germany","Group of the European People's Party (Christian Democrats)","96772","Christlich Demokratische Union Deutschlands"
"292","Ivan JAKOVČIĆ","Croatia","Group of the Alliance of Liberals and Democrats for Europe","124754","Istarski demokratski sabor - Dieta democratica istriana"
"293","Jean-François JALKH","France","Europe of Nations and Freedom Group","124770","Rassemblement national"
"294","Diane JAMES","United Kingdom","Non-attached Members","124939","-"
"295","France JAMET","France","Europe of Nations and Freedom Group","189065","Rassemblement national"
